 Task 1,submission_pk,User,RMSE,RMSE@10,RMSE@20,RMSE@30,RMSE@40
1,565205,HonoMi,0.49725 (1),0.77914 (48),0.66726 (48),0.59322 (48),0.53814 (48)
2,569557,alonzorz,0.50726 (2),0.81093 (44),0.69345 (46),0.61210 (47),0.55204 (47)
3,570366,jtoma,0.51737 (3),0.81704 (43),0.70441 (45),0.62222 (45),0.56280 (46)
4,570274,MLEngineer,0.51966 (4),0.85965 (32),0.72801 (35),0.63734 (40),0.57091 (43)
5,570305,Pramodith,0.52027 (5),0.82313 (41),0.70483 (44),0.62580 (44),0.56611 (45)
6,568003,ttzhang,0.52187 (6),0.85769 (34),0.72911 (34),0.64118 (37),0.57365 (42)
7,569747,Labat,0.52532 (7),0.86878 (30),0.73473 (31),0.64574 (35),0.57721 (39)
8,570306,anasteam,0.52603 (8),0.84345 (38),0.72102 (39),0.63657 (42),0.57411 (41)
9,569679,Ferryman,0.52776 (9),0.83953 (39),0.72031 (40),0.63722 (41),0.57503 (40)
10,570203,zxchen,0.52886 (10),0.86368 (31),0.73643 (30),0.64695 (33),0.57976 (36)
11,567886,yinxx325,0.53108 (11),0.84559 (36),0.72209 (38),0.63974 (39),0.57816 (38)
12,569875,will_go,0.53228 (12),0.84355 (37),0.72510 (37),0.64153 (36),0.57960 (37)
13,569113,xsysigma,0.53308 (13),0.79167 (47),0.68849 (47),0.61917 (46),0.57038 (44)
14,567267,sid.mahurkar,0.53318 (14),0.87648 (28),0.74333 (29),0.65256 (31),0.58500 (33)
15,569728,MeisterMorxrc,0.53383 (15),0.85390 (35),0.73102 (33),0.64614 (34),0.58250 (35)
16,570143,Farah,0.53396 (16),0.90910 (23),0.76645 (24),0.66720 (24),0.59243 (30)
17,561360,Mjason,0.53518 (17),0.87481 (29),0.74673 (28),0.65606 (29),0.58769 (32)
18,570317,unituebingenCL,0.53954 (18),0.88883 (25),0.75588 (26),0.66216 (27),0.59293 (29)
19,570245,apurva19,0.54670 (19),0.80250 (45),0.70532 (42),0.63315 (43),0.58393 (34)
20,570217,lunayach,0.54754 (20),0.88762 (26),0.75883 (25),0.66691 (25),0.59969 (27)
21,570041,george.vlad,0.54803 (21),0.87816 (27),0.75230 (27),0.66270 (26),0.59694 (28)
22,570286,Buhscitu,0.55115 (22),0.91792 (21),0.77675 (22),0.68030 (22),0.60711 (25)
23,570238,saradhix,0.55226 (23),0.81736 (42),0.71647 (41),0.64102 (38),0.58942 (31)
24,556223,sabino,0.55391 (24),0.90639 (24),0.77135 (23),0.67868 (23),0.60866 (23)
25,570089,docekal,0.55791 (25),0.93381 (18),0.79076 (20),0.69221 (20),0.61705 (22)
26,570050,yangst,0.55838 (26),0.85784 (33),0.73309 (32),0.65962 (28),0.60272 (26)
27,569420,HumorAAC,0.56454 (27),0.91686 (22),0.77916 (21),0.68771 (21),0.61835 (20)
28,569839,Enas,0.56829 (28),0.96104 (14),0.81356 (14),0.70875 (15),0.63003 (17)
29,570300,prateekgupta2533,0.56983 (29),0.94010 (16),0.79852 (16),0.70054 (18),0.62738 (18)
30,569662,funny3,0.57237 (30),0.92593 (20),0.79307 (19),0.69973 (19),0.62674 (19)
31,570336,wonderful_tonight,0.57369 (31),0.82876 (40),0.72718 (36),0.65531 (30),0.60851 (24)
32,559832,xthl,0.57470 (32),0.98603 (10),0.83056 (10),0.72260 (11),0.64001 (13)
33,570065,yanghaocsg,0.57471 (33),0.98616 (9),0.83064 (9),0.72266 (10),0.64004 (12)
34,554633,nabilhossain,0.57471 (33),0.98616 (9),0.83064 (9),0.72266 (10),0.64004 (12)
35,569919,moonalasad,0.57479 (34),0.98695 (7),0.83118 (7),0.72301 (8),0.64024 (11)
36,561650,dianehu,0.57488 (35),0.98659 (8),0.83095 (8),0.72288 (9),0.64024 (10)
37,569923,Warren,0.57527 (36),0.97051 (12),0.81894 (13),0.71446 (14),0.63639 (14)
38,556748,tangmen,0.57768 (37),0.97979 (11),0.82746 (12),0.72187 (12),0.64127 (8)
39,566356,lijunyi,0.57946 (38),0.93660 (17),0.79812 (18),0.70201 (17),0.63267 (16)
40,570360,Taha,0.58157 (39),0.94887 (15),0.81110 (15),0.71529 (13),0.64112 (9)
41,569816,xenia,0.58286 (40),0.92998 (19),0.79839 (17),0.70582 (16),0.63606 (15)
42,570314,jam,0.59202 (41),0.79559 (46),0.70487 (43),0.65213 (32),0.61748 (21)
43,565083,kdehumor,0.61643 (42),1.01753 (4),0.86629 (6),0.75881 (6),0.67877 (6)
44,570179,uir,0.62401 (43),0.96355 (13),0.82793 (11),0.73887 (7),0.67424 (7)
45,557476,aniton,0.65099 (44),1.01398 (5),0.87140 (5),0.77714 (5),0.70777 (5)
46,569709,heidy,0.68338 (45),1.04967 (3),0.90567 (3),0.80625 (3),0.73594 (4)
47,562068,rtdesetty,0.70333 (46),1.01162 (6),0.88053 (4),0.80057 (4),0.74428 (3)
48,561404,frietz58,0.72252 (47),1.06347 (2),0.93958 (2),0.84523 (2),0.77634 (2)
49,566862,Kayal_Sampath,0.84476 (48),1.10733 (1),0.99210 (1),0.92795 (1),0.87548 (1)
,,,,,,,
,,,,,,,
 Task 2,submission_pk,User,Accuracy,Reward,,,
1,565207,HonoMi,0.67428 (1),0.29878 (1),,,
2,569558,alonzorz,0.66058 (2),0.27656 (3),,,
3,570291,jtoma,0.65906 (3),0.27831 (2),,,
4,569806,Pramodith,0.64688 (4),0.26005 (4),,,
5,570148,xsysigma,0.64460 (5),0.25411 (5),,,
6,568759,ttzhang,0.64384 (6),0.25076 (6),,,
7,570249,saradhix,0.63927 (7),0.24376 (7),,,
8,570204,zxchen,0.63470 (8),0.23995 (9),,,
9,568330,yinxx325,0.63204 (9),0.24292 (8),,,
10,570307,anasteam,0.62938 (10),0.22907 (10),,,
11,570299,Buhscitu,0.62709 (11),0.21895 (11),,,
12,570271,MLEngineer,0.62291 (12),0.20464 (14),,,
13,569333,sid.mahurkar,0.62177 (13),0.20769 (13),,,
14,570318,unituebingenCL,0.61834 (14),0.21104 (12),,,
15,570279,lunayach,0.61339 (15),0.19543 (15),,,
16,570250,Farah,0.60883 (16),0.18409 (16),,,
17,559381,sabino,0.60502 (17),0.17785 (17),,,
18,569922,Ferryman,0.60274 (18),0.17709 (19),,,
19,570367,george.vlad,0.60008 (19),0.17725 (18),,,
20,569920,rtdesetty,0.59703 (20),0.16735 (20),,,
21,570272,docekal,0.57763 (21),0.14871 (21),,,
22,565824,ghpaetzold,0.56963 (22),0.11811 (22),,,
23,570335,jam,0.54262 (23),0.07473 (24),,,
24,569522,Kayal_Sampath,0.53767 (24),0.06218 (25),,,
25,570333,wonderful_tonight,0.53196 (25),0.11126 (23),,,
26,570180,uir,0.52131 (26),0.05670 (26),,,
27,569095,kdehumor,0.51903 (27),0.02717 (27),,,
28,570364,Taha,0.50381 (28),-0.00213 (28),,,
29,554647,nabilhossain,0.49049 (29),-0.01956 (29),,,
30,569355,heidy,0.41971 (30),-0.09954 (30),,,
31,557269,aniton,0.32915 (31),-0.20639 (31),,,
32,569078,HumorAAC,0.32040 (32),-0.21773 (32),,,
