,id,original1,edit1,grades1,meanGrade1,original2,edit2,grades2,meanGrade2,label,new1,original11,new2,original22
0,107539-107540,""" It 's official : Dodgers definitely were cheated out of 2017 World <Series/> title by Astros ’ sign-stealing """,Car,22100,1.0,""" It 's official : Dodgers definitely were cheated out of 2017 World Series <title/> by Astros ’ sign-stealing """,hotdogs,22211,1.6,2,""" It 's official : Dodgers definitely were cheated out of 2017 World Car title by Astros ’ sign-stealing """,""" It 's official : Dodgers definitely were cheated out of 2017 World Series title by Astros ’ sign-stealing """,""" It 's official : Dodgers definitely were cheated out of 2017 World Series hotdogs by Astros ’ sign-stealing """,""" It 's official : Dodgers definitely were cheated out of 2017 World Series title by Astros ’ sign-stealing """
1,107539-107538,""" It 's official : Dodgers definitely were cheated out of 2017 World <Series/> title by Astros ’ sign-stealing """,Car,22100,1.0,""" It 's official : <Dodgers/> definitely were cheated out of 2017 World Series title by Astros ’ sign-stealing """,Jetsons,32211,1.8,2,""" It 's official : Dodgers definitely were cheated out of 2017 World Car title by Astros ’ sign-stealing """,""" It 's official : Dodgers definitely were cheated out of 2017 World Series title by Astros ’ sign-stealing """,""" It 's official : Jetsons definitely were cheated out of 2017 World Series title by Astros ’ sign-stealing """,""" It 's official : Dodgers definitely were cheated out of 2017 World Series title by Astros ’ sign-stealing """
2,107540-107538,""" It 's official : Dodgers definitely were cheated out of 2017 World Series <title/> by Astros ’ sign-stealing """,hotdogs,22211,1.6,""" It 's official : <Dodgers/> definitely were cheated out of 2017 World Series title by Astros ’ sign-stealing """,Jetsons,32211,1.8,2,""" It 's official : Dodgers definitely were cheated out of 2017 World Series hotdogs by Astros ’ sign-stealing """,""" It 's official : Dodgers definitely were cheated out of 2017 World Series title by Astros ’ sign-stealing """,""" It 's official : Jetsons definitely were cheated out of 2017 World Series title by Astros ’ sign-stealing """,""" It 's official : Dodgers definitely were cheated out of 2017 World Series title by Astros ’ sign-stealing """
3,101237-101236,""" The Booing Is F *** ing Us Up "" : ' The View ' Melts Down Over <Donald Trump Jr/> . Visit",ghosts,31110,1.2,""" The Booing Is F *** ing Us Up "" : ' The View ' Melts Down Over <Donald Trump Jr/> . Visit",Ghost,222210,1.5,2,""" The Booing Is F *** ing Us Up "" : ' The View ' Melts Down Over ghosts . Visit",""" The Booing Is F *** ing Us Up "" : ' The View ' Melts Down Over Donald Trump Jr . Visit",""" The Booing Is F *** ing Us Up "" : ' The View ' Melts Down Over Ghost . Visit",""" The Booing Is F *** ing Us Up "" : ' The View ' Melts Down Over Donald Trump Jr . Visit"
4,100737-100736,""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' Joker ' <Movie/> ",imitation,11000,0.4,""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' <Joker/> ' Movie",chipmunks,32110,1.4,2,""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' Joker ' imitation ",""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' Joker ' Movie ",""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' chipmunks ' Movie",""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' Joker ' Movie"
5,100737-100738,""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' Joker ' <Movie/> ",imitation,11000,0.4,""" You 've Got to <Stop/> This "" : Jared Leto Fumed Over New ' Joker ' Movie",Dab,32200,1.4,2,""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' Joker ' imitation ",""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' Joker ' Movie ",""" You 've Got to Dab This "" : Jared Leto Fumed Over New ' Joker ' Movie",""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' Joker ' Movie"
6,100736-100738,""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' <Joker/> ' Movie",chipmunks,32110,1.4,""" You 've Got to <Stop/> This "" : Jared Leto Fumed Over New ' Joker ' Movie",Dab,32200,1.4,0,""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' chipmunks ' Movie",""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' Joker ' Movie",""" You 've Got to Dab This "" : Jared Leto Fumed Over New ' Joker ' Movie",""" You 've Got to Stop This "" : Jared Leto Fumed Over New ' Joker ' Movie"
7,103102-103101,"$ 120,000 Banana Highlights The Elitism Of The <Art/> World",monkey,32221,2.0,"$ 120,000 Banana Highlights The Elitism Of The <Art/> World",Chimpanzee,33331,2.6,2,"$ 120,000 Banana Highlights The Elitism Of The monkey World","$ 120,000 Banana Highlights The Elitism Of The Art World","$ 120,000 Banana Highlights The Elitism Of The Chimpanzee World","$ 120,000 Banana Highlights The Elitism Of The Art World"
8,102659-102658,$ 5B class action lawsuit accusing Apple of selling customer <data/> is thrown out,organs,22111,1.4,$ 5B class action lawsuit accusing Apple of selling customer <data/> is thrown out,children,22210,1.4,0,$ 5B class action lawsuit accusing Apple of selling customer organs is thrown out,$ 5B class action lawsuit accusing Apple of selling customer data is thrown out,$ 5B class action lawsuit accusing Apple of selling customer children is thrown out,$ 5B class action lawsuit accusing Apple of selling customer data is thrown out
9,107745-107744,' Alarming ' one in five deaths due to <sepsis/> ,democrats,211110,1.0,' Alarming ' one in five deaths due to <sepsis/> ,Cake,22210,1.4,2,' Alarming ' one in five deaths due to democrats ,' Alarming ' one in five deaths due to sepsis ,' Alarming ' one in five deaths due to Cake ,' Alarming ' one in five deaths due to sepsis 
